LogId,BlockId,Timestamp,Level,Server,Component,PID,Message,FullLog,RootCause,Label
LOG0002847,blk_690997074,2024-01-01 03:57:11,WARN,db-primary,kernel,43816,User login successful,2024-01-01 03:57:11 WARN [db-primary] kernel[43816]: User login successful,Normal,0
LOG0002848,blk_155902758,2024-01-01 03:57:18,DEBUG,cache-01,kernel,4427,Backup completed successfully,2024-01-01 03:57:18 DEBUG [cache-01] kernel[4427]: Backup completed successfully,Normal,0
LOG0002849,blk_960291926,2024-01-01 03:57:22,WARN,app-server,sshd,27177,Database query executed in 12ms,2024-01-01 03:57:22 WARN [app-server] sshd[27177]: Database query executed in 12ms,Normal,0
LOG0002850,blk_834871923,2024-01-01 03:57:28,ERROR,db-replica,mysqld,28198,Segmentation fault core dumped,2024-01-01 03:57:28 ERROR [db-replica] mysqld[28198]: Segmentation fault core dumped,Application Crash,1
LOG0002851,blk_321238695,2024-01-01 03:57:31,INFO,cache-01,sshd,29952,Health check OK all services running,2024-01-01 03:57:31 INFO [cache-01] sshd[29952]: Health check OK all services running,Normal,0
LOG0002852,blk_973273949,2024-01-01 03:57:37,WARN,web-01,java-app,55892,Network throughput normal,2024-01-01 03:57:37 WARN [web-01] java-app[55892]: Network throughput normal,Normal,0
LOG0002853,blk_509304642,2024-01-01 03:57:41,ERROR,server-02,systemd,54334,Write failed no space left on device,2024-01-01 03:57:41 ERROR [server-02] systemd[54334]: Write failed no space left on device,Disk Failure,1
LOG0002854,blk_837448199,2024-01-01 03:57:49,WARN,web-01,cron,15785,API request processed 200 OK,2024-01-01 03:57:49 WARN [web-01] cron[15785]: API request processed 200 OK,Normal,0
LOG0002855,blk_536619232,2024-01-01 03:57:53,WARN,web-02,sshd,61733,User login successful,2024-01-01 03:57:53 WARN [web-02] sshd[61733]: User login successful,Normal,0
LOG0002856,blk_116398366,2024-01-01 03:57:58,INFO,app-server,nginx,10179,Network throughput normal,2024-01-01 03:57:58 INFO [app-server] nginx[10179]: Network throughput normal,Normal,0
LOG0002857,blk_182062806,2024-01-01 03:58:00,WARN,web-02,systemd,23639,API request processed 200 OK,2024-01-01 03:58:00 WARN [web-02] systemd[23639]: API request processed 200 OK,Normal,0
LOG0002858,blk_878342260,2024-01-01 03:58:07,DEBUG,web-02,java-app,56615,Health check OK all services running,2024-01-01 03:58:07 DEBUG [web-02] java-app[56615]: Health check OK all services running,Normal,0
LOG0002859,blk_630903942,2024-01-01 03:58:12,WARN,server-01,nginx,54289,Network throughput normal,2024-01-01 03:58:12 WARN [server-01] nginx[54289]: Network throughput normal,Normal,0
LOG0002860,blk_159896350,2024-01-01 03:58:18,DEBUG,server-02,network-manager,30245,User login successful,2024-01-01 03:58:18 DEBUG [server-02] network-manager[30245]: User login successful,Normal,0
LOG0002861,blk_674799180,2024-01-01 03:58:23,INFO,server-02,systemd,18413,User login successful,2024-01-01 03:58:23 INFO [server-02] systemd[18413]: User login successful,Normal,0
LOG0002862,blk_756388774,2024-01-01 03:58:25,INFO,app-server,nginx,59537,API request processed 200 OK,2024-01-01 03:58:25 INFO [app-server] nginx[59537]: API request processed 200 OK,Normal,0
LOG0002863,blk_103234436,2024-01-01 03:58:33,ERROR,db-primary,systemd,14464,GC overhead limit exceeded,2024-01-01 03:58:33 ERROR [db-primary] systemd[14464]: GC overhead limit exceeded,Memory Overflow,1
LOG0002864,blk_905349164,2024-01-01 03:58:38,INFO,cache-01,java-app,44508,Scheduled job completed,2024-01-01 03:58:38 INFO [cache-01] java-app[44508]: Scheduled job completed,Normal,0
LOG0002865,blk_452488738,2024-01-01 03:58:43,ERROR,db-primary,nginx,13667,Service health check failed 3 times,2024-01-01 03:58:43 ERROR [db-primary] nginx[13667]: Service health check failed 3 times,Application Crash,1
LOG0002866,blk_343193192,2024-01-01 03:58:47,INFO,cache-01,mysqld,45914,Backup completed successfully,2024-01-01 03:58:47 INFO [cache-01] mysqld[45914]: Backup completed successfully,Normal,0
LOG0002867,blk_561533222,2024-01-01 03:58:52,DEBUG,server-02,java-app,30350,Health check OK all services running,2024-01-01 03:58:52 DEBUG [server-02] java-app[30350]: Health check OK all services running,Normal,0
LOG0002868,blk_933989155,2024-01-01 03:58:57,INFO,db-primary,network-manager,3744,Config reload successful,2024-01-01 03:58:57 INFO [db-primary] network-manager[3744]: Config reload successful,Normal,0
LOG0002869,blk_728273773,2024-01-01 03:59:01,INFO,server-02,cron,18084,Backup completed successfully,2024-01-01 03:59:01 INFO [server-02] cron[18084]: Backup completed successfully,Normal,0
LOG0002870,blk_172190012,2024-01-01 03:59:09,ERROR,web-02,nginx,22131,Write failed no space left on device,2024-01-01 03:59:09 ERROR [web-02] nginx[22131]: Write failed no space left on device,Disk Failure,1
LOG0002871,blk_891987775,2024-01-01 03:59:14,INFO,db-primary,java-app,21370,API request processed 200 OK,2024-01-01 03:59:14 INFO [db-primary] java-app[21370]: API request processed 200 OK,Normal,0
LOG0002872,blk_637385283,2024-01-01 03:59:19,INFO,web-01,sshd,38372,Database query executed in 12ms,2024-01-01 03:59:19 INFO [web-01] sshd[38372]: Database query executed in 12ms,Normal,0
LOG0002873,blk_246424018,2024-01-01 03:59:24,DEBUG,db-primary,kernel,38055,Memory usage normal 45 percent,2024-01-01 03:59:24 DEBUG [db-primary] kernel[38055]: Memory usage normal 45 percent,Normal,0
LOG0002874,blk_380534353,2024-01-01 03:59:26,ERROR,cache-01,kernel,30761,Disk I/O error on /dev/sda1,2024-01-01 03:59:26 ERROR [cache-01] kernel[30761]: Disk I/O error on /dev/sda1,Disk Failure,1
LOG0002875,blk_830173333,2024-01-01 03:59:31,DEBUG,server-01,cron,23005,User login successful,2024-01-01 03:59:31 DEBUG [server-01] cron[23005]: User login successful,Normal,0
LOG0002876,blk_646275291,2024-01-01 03:59:35,INFO,db-primary,java-app,54962,Scheduled job completed,2024-01-01 03:59:35 INFO [db-primary] java-app[54962]: Scheduled job completed,Normal,0
LOG0002877,blk_765007818,2024-01-01 03:59:44,INFO,app-server,systemd,7277,Cache refresh completed,2024-01-01 03:59:44 INFO [app-server] systemd[7277]: Cache refresh completed,Normal,0
LOG0002878,blk_797767303,2024-01-01 03:59:47,INFO,db-primary,kernel,51181,Network throughput normal,2024-01-01 03:59:47 INFO [db-primary] kernel[51181]: Network throughput normal,Normal,0
LOG0002879,blk_526432622,2024-01-01 03:59:54,ERROR,web-01,mysqld,5947,Packet loss 40 percent on eth0,2024-01-01 03:59:54 ERROR [web-01] mysqld[5947]: Packet loss 40 percent on eth0,Network Issue,1
LOG0002880,blk_629469799,2024-01-01 03:59:59,WARN,web-01,java-app,21019,Network throughput normal,2024-01-01 03:59:59 WARN [web-01] java-app[21019]: Network throughput normal,Normal,0
LOG0002881,blk_187712070,2024-01-01 04:00:04,INFO,web-02,nginx,23252,Backup completed successfully,2024-01-01 04:00:04 INFO [web-02] nginx[23252]: Backup completed successfully,Normal,0
LOG0002882,blk_673406117,2024-01-01 04:00:05,INFO,db-primary,network-manager,30697,Health check OK all services running,2024-01-01 04:00:05 INFO [db-primary] network-manager[30697]: Health check OK all services running,Normal,0
LOG0002883,blk_901814961,2024-01-01 04:00:13,INFO,server-02,mysqld,23502,API request processed 200 OK,2024-01-01 04:00:13 INFO [server-02] mysqld[23502]: API request processed 200 OK,Normal,0
LOG0002884,blk_685487741,2024-01-01 04:00:17,INFO,app-server,systemd,63999,Backup completed successfully,2024-01-01 04:00:17 INFO [app-server] systemd[63999]: Backup completed successfully,Normal,0
LOG0002885,blk_802599098,2024-01-01 04:00:21,INFO,web-01,java-app,62503,User login successful,2024-01-01 04:00:21 INFO [web-01] java-app[62503]: User login successful,Normal,0
LOG0002886,blk_151907500,2024-01-01 04:00:26,INFO,web-02,network-manager,31888,Memory usage normal 45 percent,2024-01-01 04:00:26 INFO [web-02] network-manager[31888]: Memory usage normal 45 percent,Normal,0
LOG0002887,blk_517844373,2024-01-01 04:00:34,INFO,db-replica,network-manager,34832,Database query executed in 12ms,2024-01-01 04:00:34 INFO [db-replica] network-manager[34832]: Database query executed in 12ms,Normal,0
LOG0002888,blk_592965345,2024-01-01 04:00:35,DEBUG,db-replica,systemd,45979,Scheduled job completed,2024-01-01 04:00:35 DEBUG [db-replica] systemd[45979]: Scheduled job completed,Normal,0
LOG0002889,blk_818842931,2024-01-01 04:00:41,ERROR,server-02,sshd,39167,Bad sector detected at block 4096,2024-01-01 04:00:41 ERROR [server-02] sshd[39167]: Bad sector detected at block 4096,Disk Failure,1
LOG0002890,blk_783795508,2024-01-01 04:00:48,DEBUG,web-02,network-manager,59226,Memory usage normal 45 percent,2024-01-01 04:00:48 DEBUG [web-02] network-manager[59226]: Memory usage normal 45 percent,Normal,0
LOG0002891,blk_341565319,2024-01-01 04:00:54,ERROR,server-01,network-manager,6482,NullPointerException in UserService,2024-01-01 04:00:54 ERROR [server-01] network-manager[6482]: NullPointerException in UserService,Application Crash,1
LOG0002892,blk_474213425,2024-01-01 04:00:59,ERROR,app-server,systemd,36722,GC overhead limit exceeded,2024-01-01 04:00:59 ERROR [app-server] systemd[36722]: GC overhead limit exceeded,Memory Overflow,1
LOG0002893,blk_477796536,2024-01-01 04:01:04,INFO,app-server,systemd,7462,Health check OK all services running,2024-01-01 04:01:04 INFO [app-server] systemd[7462]: Health check OK all services running,Normal,0
LOG0002894,blk_722377331,2024-01-01 04:01:06,INFO,db-replica,nginx,3563,Config reload successful,2024-01-01 04:01:06 INFO [db-replica] nginx[3563]: Config reload successful,Normal,0
LOG0002895,blk_785142565,2024-01-01 04:01:12,ERROR,db-replica,java-app,62208,Network interface eth1 link down,2024-01-01 04:01:12 ERROR [db-replica] java-app[62208]: Network interface eth1 link down,Network Issue,1
LOG0002896,blk_829550953,2024-01-01 04:01:16,INFO,cache-01,network-manager,46011,Scheduled job completed,2024-01-01 04:01:16 INFO [cache-01] network-manager[46011]: Scheduled job completed,Normal,0
LOG0002897,blk_936247617,2024-01-01 04:01:20,INFO,web-02,sshd,58504,Network throughput normal,2024-01-01 04:01:20 INFO [web-02] sshd[58504]: Network throughput normal,Normal,0
LOG0002898,blk_393556587,2024-01-01 04:01:26,INFO,db-replica,mysqld,28299,Config reload successful,2024-01-01 04:01:26 INFO [db-replica] mysqld[28299]: Config reload successful,Normal,0
LOG0002899,blk_100454252,2024-01-01 04:01:34,INFO,db-primary,java-app,16546,User login successful,2024-01-01 04:01:34 INFO [db-primary] java-app[16546]: User login successful,Normal,0
LOG0002900,blk_417700242,2024-01-01 04:01:38,INFO,app-server,mysqld,6776,User login successful,2024-01-01 04:01:38 INFO [app-server] mysqld[6776]: User login successful,Normal,0
LOG0002901,blk_117671537,2024-01-01 04:01:42,INFO,app-server,systemd,53492,Scheduled job completed,2024-01-01 04:01:42 INFO [app-server] systemd[53492]: Scheduled job completed,Normal,0
LOG0002902,blk_524734889,2024-01-01 04:01:45,DEBUG,web-01,sshd,52246,User login successful,2024-01-01 04:01:45 DEBUG [web-01] sshd[52246]: User login successful,Normal,0
LOG0002903,blk_917375325,2024-01-01 04:01:50,ERROR,db-replica,sshd,60692,Disk I/O error on /dev/sda1,2024-01-01 04:01:50 ERROR [db-replica] sshd[60692]: Disk I/O error on /dev/sda1,Disk Failure,1
LOG0002904,blk_372223513,2024-01-01 04:01:59,INFO,server-01,java-app,15357,Database query executed in 12ms,2024-01-01 04:01:59 INFO [server-01] java-app[15357]: Database query executed in 12ms,Normal,0
LOG0002905,blk_293958813,2024-01-01 04:02:04,WARN,web-02,sshd,6491,User login successful,2024-01-01 04:02:04 WARN [web-02] sshd[6491]: User login successful,Normal,0
LOG0002906,blk_676885494,2024-01-01 04:02:08,INFO,server-02,mysqld,60685,Config reload successful,2024-01-01 04:02:08 INFO [server-02] mysqld[60685]: Config reload successful,Normal,0
LOG0002907,blk_743620820,2024-01-01 04:02:13,INFO,server-01,network-manager,51026,Network throughput normal,2024-01-01 04:02:13 INFO [server-01] network-manager[51026]: Network throughput normal,Normal,0
LOG0002908,blk_757337715,2024-01-01 04:02:16,WARN,app-server,java-app,64891,API request processed 200 OK,2024-01-01 04:02:16 WARN [app-server] java-app[64891]: API request processed 200 OK,Normal,0
LOG0002909,blk_459434953,2024-01-01 04:02:24,INFO,db-primary,mysqld,12892,Memory usage normal 45 percent,2024-01-01 04:02:24 INFO [db-primary] mysqld[12892]: Memory usage normal 45 percent,Normal,0
LOG0002910,blk_814803073,2024-01-01 04:02:27,INFO,server-02,nginx,61994,Database query executed in 12ms,2024-01-01 04:02:27 INFO [server-02] nginx[61994]: Database query executed in 12ms,Normal,0
LOG0002911,blk_804694642,2024-01-01 04:02:32,INFO,server-02,mysqld,37293,Memory usage normal 45 percent,2024-01-01 04:02:32 INFO [server-02] mysqld[37293]: Memory usage normal 45 percent,Normal,0
LOG0002912,blk_773888513,2024-01-01 04:02:36,INFO,web-02,mysqld,63306,API request processed 200 OK,2024-01-01 04:02:36 INFO [web-02] mysqld[63306]: API request processed 200 OK,Normal,0
LOG0002913,blk_624114848,2024-01-01 04:02:44,INFO,web-02,cron,38654,Backup completed successfully,2024-01-01 04:02:44 INFO [web-02] cron[38654]: Backup completed successfully,Normal,0
LOG0002914,blk_827801217,2024-01-01 04:02:49,ERROR,db-primary,cron,21899,Connection timeout to 192.168.1.1,2024-01-01 04:02:49 ERROR [db-primary] cron[21899]: Connection timeout to 192.168.1.1,Network Issue,1
LOG0002915,blk_603438499,2024-01-01 04:02:50,INFO,cache-01,systemd,40121,User login successful,2024-01-01 04:02:50 INFO [cache-01] systemd[40121]: User login successful,Normal,0
LOG0002916,blk_900100414,2024-01-01 04:02:58,INFO,app-server,sshd,8138,Memory usage normal 45 percent,2024-01-01 04:02:58 INFO [app-server] sshd[8138]: Memory usage normal 45 percent,Normal,0
LOG0002917,blk_490567867,2024-01-01 04:03:00,INFO,web-02,kernel,30766,Database query executed in 12ms,2024-01-01 04:03:00 INFO [web-02] kernel[30766]: Database query executed in 12ms,Normal,0
LOG0002918,blk_858537781,2024-01-01 04:03:07,ERROR,server-02,network-manager,10444,Kernel OOM killer activated,2024-01-01 04:03:07 ERROR [server-02] network-manager[10444]: Kernel OOM killer activated,Memory Overflow,1
LOG0002919,blk_389716942,2024-01-01 04:03:14,ERROR,web-02,systemd,22532,OutOfMemoryError Java heap space,2024-01-01 04:03:14 ERROR [web-02] systemd[22532]: OutOfMemoryError Java heap space,Memory Overflow,1
LOG0002920,blk_217039653,2024-01-01 04:03:18,INFO,db-primary,cron,14043,Backup completed successfully,2024-01-01 04:03:18 INFO [db-primary] cron[14043]: Backup completed successfully,Normal,0
LOG0002921,blk_939529511,2024-01-01 04:03:23,WARN,app-server,network-manager,61043,Config reload successful,2024-01-01 04:03:23 WARN [app-server] network-manager[61043]: Config reload successful,Normal,0
LOG0002922,blk_397052784,2024-01-01 04:03:25,WARN,web-02,java-app,31383,Database query executed in 12ms,2024-01-01 04:03:25 WARN [web-02] java-app[31383]: Database query executed in 12ms,Normal,0
LOG0002923,blk_122396694,2024-01-01 04:03:30,DEBUG,web-01,kernel,4680,API request processed 200 OK,2024-01-01 04:03:30 DEBUG [web-01] kernel[4680]: API request processed 200 OK,Normal,0
LOG0002924,blk_656075952,2024-01-01 04:03:39,ERROR,db-replica,cron,50547,Process killed memory limit reached,2024-01-01 04:03:39 ERROR [db-replica] cron[50547]: Process killed memory limit reached,Memory Overflow,1
LOG0002925,blk_245983958,2024-01-01 04:03:43,INFO,cache-01,sshd,38496,Database query executed in 12ms,2024-01-01 04:03:43 INFO [cache-01] sshd[38496]: Database query executed in 12ms,Normal,0
LOG0002926,blk_576492552,2024-01-01 04:03:47,INFO,web-01,systemd,43718,Database query executed in 12ms,2024-01-01 04:03:47 INFO [web-01] systemd[43718]: Database query executed in 12ms,Normal,0
LOG0002927,blk_627806314,2024-01-01 04:03:52,ERROR,db-primary,cron,26956,Connection timeout to 192.168.1.1,2024-01-01 04:03:52 ERROR [db-primary] cron[26956]: Connection timeout to 192.168.1.1,Network Issue,1
LOG0002928,blk_867405232,2024-01-01 04:03:58,DEBUG,db-primary,java-app,65093,Network throughput normal,2024-01-01 04:03:58 DEBUG [db-primary] java-app[65093]: Network throughput normal,Normal,0
LOG0002929,blk_179721388,2024-01-01 04:04:00,DEBUG,web-01,java-app,61787,Cache refresh completed,2024-01-01 04:04:00 DEBUG [web-01] java-app[61787]: Cache refresh completed,Normal,0
LOG0002930,blk_596756826,2024-01-01 04:04:05,INFO,web-01,mysqld,34157,Network throughput normal,2024-01-01 04:04:05 INFO [web-01] mysqld[34157]: Network throughput normal,Normal,0
LOG0002931,blk_359764530,2024-01-01 04:04:13,ERROR,db-primary,java-app,10252,DNS resolution failed for db.internal,2024-01-01 04:04:13 ERROR [db-primary] java-app[10252]: DNS resolution failed for db.internal,Network Issue,1
LOG0002932,blk_309045387,2024-01-01 04:04:15,INFO,server-01,mysqld,64587,User login successful,2024-01-01 04:04:15 INFO [server-01] mysqld[64587]: User login successful,Normal,0
LOG0002933,blk_815422067,2024-01-01 04:04:24,ERROR,web-01,systemd,41238,Kernel OOM killer activated,2024-01-01 04:04:24 ERROR [web-01] systemd[41238]: Kernel OOM killer activated,Memory Overflow,1
LOG0002934,blk_957626721,2024-01-01 04:04:27,DEBUG,app-server,kernel,10144,API request processed 200 OK,2024-01-01 04:04:27 DEBUG [app-server] kernel[10144]: API request processed 200 OK,Normal,0
LOG0002935,blk_259879277,2024-01-01 04:04:34,INFO,app-server,mysqld,57065,Cache refresh completed,2024-01-01 04:04:34 INFO [app-server] mysqld[57065]: Cache refresh completed,Normal,0
LOG0002936,blk_911188926,2024-01-01 04:04:39,INFO,web-02,kernel,35974,Health check OK all services running,2024-01-01 04:04:39 INFO [web-02] kernel[35974]: Health check OK all services running,Normal,0
LOG0002937,blk_730666893,2024-01-01 04:04:42,DEBUG,cache-01,kernel,61213,Network throughput normal,2024-01-01 04:04:42 DEBUG [cache-01] kernel[61213]: Network throughput normal,Normal,0
LOG0002938,blk_347335800,2024-01-01 04:04:46,ERROR,db-replica,mysqld,4744,Memory usage exceeded 95 percent,2024-01-01 04:04:46 ERROR [db-replica] mysqld[4744]: Memory usage exceeded 95 percent,Memory Overflow,1
LOG0002939,blk_192805109,2024-01-01 04:04:51,INFO,server-01,network-manager,59282,Network throughput normal,2024-01-01 04:04:51 INFO [server-01] network-manager[59282]: Network throughput normal,Normal,0
LOG0002940,blk_724696150,2024-01-01 04:04:56,INFO,web-02,java-app,33173,Database query executed in 12ms,2024-01-01 04:04:56 INFO [web-02] java-app[33173]: Database query executed in 12ms,Normal,0
LOG0002941,blk_501736708,2024-01-01 04:05:04,ERROR,cache-01,network-manager,32090,Connection timeout to 192.168.1.1,2024-01-01 04:05:04 ERROR [cache-01] network-manager[32090]: Connection timeout to 192.168.1.1,Network Issue,1
LOG0002942,blk_284766427,2024-01-01 04:05:05,INFO,web-02,mysqld,57512,Backup completed successfully,2024-01-01 04:05:05 INFO [web-02] mysqld[57512]: Backup completed successfully,Normal,0
LOG0002943,blk_340395081,2024-01-01 04:05:13,INFO,db-replica,java-app,51974,Scheduled job completed,2024-01-01 04:05:13 INFO [db-replica] java-app[51974]: Scheduled job completed,Normal,0
LOG0002944,blk_899595553,2024-01-01 04:05:15,INFO,web-02,mysqld,38066,Health check OK all services running,2024-01-01 04:05:15 INFO [web-02] mysqld[38066]: Health check OK all services running,Normal,0
LOG0002945,blk_203940024,2024-01-01 04:05:23,WARN,db-replica,systemd,33753,Config reload successful,2024-01-01 04:05:23 WARN [db-replica] systemd[33753]: Config reload successful,Normal,0
LOG0002946,blk_238797313,2024-01-01 04:05:26,INFO,cache-01,java-app,30693,Scheduled job completed,2024-01-01 04:05:26 INFO [cache-01] java-app[30693]: Scheduled job completed,Normal,0
LOG0002947,blk_191547990,2024-01-01 04:05:33,ERROR,web-01,sshd,4744,Swap usage at 100 percent,2024-01-01 04:05:33 ERROR [web-01] sshd[4744]: Swap usage at 100 percent,Memory Overflow,1
LOG0002948,blk_392170368,2024-01-01 04:05:38,INFO,cache-01,sshd,49175,Network throughput normal,2024-01-01 04:05:38 INFO [cache-01] sshd[49175]: Network throughput normal,Normal,0
LOG0002949,blk_529067401,2024-01-01 04:05:43,INFO,cache-01,sshd,46341,Backup completed successfully,2024-01-01 04:05:43 INFO [cache-01] sshd[46341]: Backup completed successfully,Normal,0
LOG0002950,blk_545455732,2024-01-01 04:05:45,WARN,db-primary,nginx,36779,Scheduled job completed,2024-01-01 04:05:45 WARN [db-primary] nginx[36779]: Scheduled job completed,Normal,0
LOG0002951,blk_792102561,2024-01-01 04:05:52,DEBUG,web-02,systemd,8636,User login successful,2024-01-01 04:05:52 DEBUG [web-02] systemd[8636]: User login successful,Normal,0
LOG0002952,blk_339572597,2024-01-01 04:05:56,ERROR,app-server,java-app,35099,DNS resolution failed for db.internal,2024-01-01 04:05:56 ERROR [app-server] java-app[35099]: DNS resolution failed for db.internal,Network Issue,1
LOG0002953,blk_704522609,2024-01-01 04:06:03,INFO,server-01,kernel,45944,Database query executed in 12ms,2024-01-01 04:06:03 INFO [server-01] kernel[45944]: Database query executed in 12ms,Normal,0
LOG0002954,blk_760278005,2024-01-01 04:06:09,ERROR,server-02,kernel,4108,Bad sector detected at block 4096,2024-01-01 04:06:09 ERROR [server-02] kernel[4108]: Bad sector detected at block 4096,Disk Failure,1
LOG0002955,blk_935630141,2024-01-01 04:06:12,INFO,cache-01,sshd,45737,Health check OK all services running,2024-01-01 04:06:12 INFO [cache-01] sshd[45737]: Health check OK all services running,Normal,0
LOG0002956,blk_476305388,2024-01-01 04:06:19,WARN,server-02,systemd,29808,Config reload successful,2024-01-01 04:06:19 WARN [server-02] systemd[29808]: Config reload successful,Normal,0
LOG0002957,blk_908176490,2024-01-01 04:06:20,ERROR,cache-01,nginx,49440,Swap usage at 100 percent,2024-01-01 04:06:20 ERROR [cache-01] nginx[49440]: Swap usage at 100 percent,Memory Overflow,1
LOG0002958,blk_314892306,2024-01-01 04:06:27,INFO,web-02,network-manager,15063,API request processed 200 OK,2024-01-01 04:06:27 INFO [web-02] network-manager[15063]: API request processed 200 OK,Normal,0
LOG0002959,blk_673153873,2024-01-01 04:06:30,WARN,app-server,nginx,28453,API request processed 200 OK,2024-01-01 04:06:30 WARN [app-server] nginx[28453]: API request processed 200 OK,Normal,0
LOG0002960,blk_726367892,2024-01-01 04:06:36,DEBUG,cache-01,sshd,2551,Health check OK all services running,2024-01-01 04:06:36 DEBUG [cache-01] sshd[2551]: Health check OK all services running,Normal,0
LOG0002961,blk_837364660,2024-01-01 04:06:43,INFO,app-server,kernel,15445,Network throughput normal,2024-01-01 04:06:43 INFO [app-server] kernel[15445]: Network throughput normal,Normal,0
LOG0002962,blk_232400900,2024-01-01 04:06:46,INFO,server-01,nginx,54489,Backup completed successfully,2024-01-01 04:06:46 INFO [server-01] nginx[54489]: Backup completed successfully,Normal,0
LOG0002963,blk_922789690,2024-01-01 04:06:53,INFO,app-server,network-manager,12007,Backup completed successfully,2024-01-01 04:06:53 INFO [app-server] network-manager[12007]: Backup completed successfully,Normal,0
LOG0002964,blk_629052833,2024-01-01 04:06:59,INFO,server-01,cron,41070,Health check OK all services running,2024-01-01 04:06:59 INFO [server-01] cron[41070]: Health check OK all services running,Normal,0
LOG0002965,blk_650268860,2024-01-01 04:07:02,INFO,web-02,java-app,53119,Backup completed successfully,2024-01-01 04:07:02 INFO [web-02] java-app[53119]: Backup completed successfully,Normal,0
LOG0002966,blk_263694257,2024-01-01 04:07:09,DEBUG,cache-01,sshd,8467,Config reload successful,2024-01-01 04:07:09 DEBUG [cache-01] sshd[8467]: Config reload successful,Normal,0
LOG0002967,blk_135558091,2024-01-01 04:07:10,DEBUG,cache-01,sshd,13657,API request processed 200 OK,2024-01-01 04:07:10 DEBUG [cache-01] sshd[13657]: API request processed 200 OK,Normal,0
LOG0002968,blk_976098850,2024-01-01 04:07:15,WARN,app-server,kernel,8072,Database query executed in 12ms,2024-01-01 04:07:15 WARN [app-server] kernel[8072]: Database query executed in 12ms,Normal,0
LOG0002969,blk_409984520,2024-01-01 04:07:21,WARN,cache-01,mysqld,51433,Network throughput normal,2024-01-01 04:07:21 WARN [cache-01] mysqld[51433]: Network throughput normal,Normal,0
LOG0002970,blk_942615955,2024-01-01 04:07:26,WARN,web-01,nginx,12721,API request processed 200 OK,2024-01-01 04:07:26 WARN [web-01] nginx[12721]: API request processed 200 OK,Normal,0
LOG0002971,blk_383976463,2024-01-01 04:07:30,INFO,web-02,systemd,56713,Backup completed successfully,2024-01-01 04:07:30 INFO [web-02] systemd[56713]: Backup completed successfully,Normal,0
LOG0002972,blk_994509190,2024-01-01 04:07:36,DEBUG,web-01,nginx,35637,API request processed 200 OK,2024-01-01 04:07:36 DEBUG [web-01] nginx[35637]: API request processed 200 OK,Normal,0
LOG0002973,blk_104044836,2024-01-01 04:07:41,ERROR,web-01,mysqld,7799,Thread pool exhausted all workers busy,2024-01-01 04:07:41 ERROR [web-01] mysqld[7799]: Thread pool exhausted all workers busy,Application Crash,1
LOG0002974,blk_660144762,2024-01-01 04:07:48,WARN,app-server,cron,8667,Backup completed successfully,2024-01-01 04:07:48 WARN [app-server] cron[8667]: Backup completed successfully,Normal,0
LOG0002975,blk_688609343,2024-01-01 04:07:52,DEBUG,db-replica,systemd,37606,Cache refresh completed,2024-01-01 04:07:52 DEBUG [db-replica] systemd[37606]: Cache refresh completed,Normal,0
LOG0002976,blk_376802640,2024-01-01 04:07:57,DEBUG,server-01,network-manager,57355,Memory usage normal 45 percent,2024-01-01 04:07:57 DEBUG [server-01] network-manager[57355]: Memory usage normal 45 percent,Normal,0
LOG0002977,blk_534562954,2024-01-01 04:08:00,WARN,db-replica,java-app,64695,Config reload successful,2024-01-01 04:08:00 WARN [db-replica] java-app[64695]: Config reload successful,Normal,0
LOG0002978,blk_209561975,2024-01-01 04:08:05,DEBUG,db-replica,java-app,44758,User login successful,2024-01-01 04:08:05 DEBUG [db-replica] java-app[44758]: User login successful,Normal,0
LOG0002979,blk_543601420,2024-01-01 04:08:13,INFO,cache-01,systemd,59942,Cache refresh completed,2024-01-01 04:08:13 INFO [cache-01] systemd[59942]: Cache refresh completed,Normal,0
LOG0002980,blk_417213081,2024-01-01 04:08:16,INFO,db-primary,java-app,45985,Health check OK all services running,2024-01-01 04:08:16 INFO [db-primary] java-app[45985]: Health check OK all services running,Normal,0
LOG0002981,blk_394450024,2024-01-01 04:08:20,WARN,app-server,nginx,64351,User login successful,2024-01-01 04:08:20 WARN [app-server] nginx[64351]: User login successful,Normal,0
LOG0002982,blk_589655448,2024-01-01 04:08:27,INFO,server-02,sshd,17739,Health check OK all services running,2024-01-01 04:08:27 INFO [server-02] sshd[17739]: Health check OK all services running,Normal,0
LOG0002983,blk_465893179,2024-01-01 04:08:32,DEBUG,server-02,network-manager,24050,Network throughput normal,2024-01-01 04:08:32 DEBUG [server-02] network-manager[24050]: Network throughput normal,Normal,0
LOG0002984,blk_487796435,2024-01-01 04:08:39,WARN,web-01,mysqld,10859,Memory usage normal 45 percent,2024-01-01 04:08:39 WARN [web-01] mysqld[10859]: Memory usage normal 45 percent,Normal,0
LOG0002985,blk_650396866,2024-01-01 04:08:44,DEBUG,server-02,kernel,60515,API request processed 200 OK,2024-01-01 04:08:44 DEBUG [server-02] kernel[60515]: API request processed 200 OK,Normal,0
LOG0002986,blk_604942383,2024-01-01 04:08:46,INFO,server-02,cron,11003,Scheduled job completed,2024-01-01 04:08:46 INFO [server-02] cron[11003]: Scheduled job completed,Normal,0
LOG0002987,blk_553050064,2024-01-01 04:08:51,INFO,cache-01,kernel,46465,Memory usage normal 45 percent,2024-01-01 04:08:51 INFO [cache-01] kernel[46465]: Memory usage normal 45 percent,Normal,0
